Metabolite,Rep1,Rep2,Rep3,Rep4,Rep5,Rep6,Rep7,Rep8,Rep9,Rep10,Rep11,Rep12,Rep13,Rep14,Average,SD,Percent
Cysteine,0,1,1.5,1.75,,,,,2,3,1,1.5,1,1.5,1.666666667,0.752772653,45.17%
Phenylalanine,10,20,,,,,,,10,12,8,10,14,16,11.66666667,2.943920289,25.23%
Threonine,10,25,10,20,10,20,,,15,17,9,11,12,14,13,2.898275349,22.29%
Isoleucine,10,20,10,20,,,,,,,12,14,14,16,14,1.632993162,11.66%
Methionine,40,50,125,150,0,50,0,50,20,25,15,20,25,30,22.5,5.244044241,23.31%
Alanine,10,25,10,25,10,20,7,9,,,21,23,23,25,23,1.632993162,7.10%
Thymine,15,30,,,,,,,,,30,37,25,30,30.5,4.932882862,16.17%
Valine,40,50,20,40,20,40,,,35,40,20,40,35,40,35,7.745966692,22.13%
Tryptophan,,,,,,,,,40,45,40,45,32.5,35,39.58333333,5.103103631,12.89%
Serine,100,200,25,50,,,,,,,90,100,90,100,95,5.773502692,6.08%
Arginine,250,500,125,250,125,250,200,300,300,400,200,300,100,200,250,104.8808848,41.95%
Glycine,200,400,800,1000,,,,,400,600,300,400,350,375,404.1666667,102.9765345,25.48%
Lysine,750,1000,1250,1500,,,,,1000,1250,1000,1250,1000,1100,1100,122.4744871,11.13%
GlutamicAcid,1500,2000,1000,1500,,,,,1100,1200,1300,1400,1100,1200,1216.666667,116.9045194,9.61%
Proline,,,,,,,,,2000,2500,2200,2400,2100,2200,2233.333333,186.1898673,8.34%